Site,Brand,Model,Edition,Year of Manufacture,Transmission,Fuel Type,Body Type,Engine Capacity (cc),Mileage (km),Price (Rs.),Negotiable,Rs. Per km
ikman.lk,BMW ,530e,I Performance G30,2018,Automatic,Hybrid,Saloon,1998,"67,000.00"," 34,950,000.00 ",Yes, 521.64 
ikman.lk,Toyota ,Land Cruiser Prado,Diesel TZG,2015,Automatic,Diesel,SUV,2750,"56,000.00"," 49,500,000.00 ",Yes, 883.93 
ikman.lk,BMW ,520d,M Sport,2015,Automatic,Diesel,Saloon,2000,"103,000.00"," 30,500,000.00 ",Yes, 296.12 
ikman.lk,Mercedes Benz,C220,CDI,2013,Automatic,Diesel,Saloon,2200,"110,000.00"," 16,000,000.00 ",No, 145.45 
ikman.lk,Kia,Picanto,Sport,2016,Automatic,Petrol,Hatchback,1000,"85,000.00"," 6,150,000.00 ",No, 72.35 
ikman.lk,Toyota,Land Cruiser Sahara,LC300,2024,Automatic,Petrol,SUV ,3500,0.00," 103,500,000.00 ",Yes,#DIV/0!
ikman.lk,Suzuki,Alto,800,2011,Manual,Petrol,Hatchback,800,"174,653.00"," 2,950,000.00 ",No, 16.89 
ikman.lk,Tata,Nano,Twist,2016,Manual,Petrol,Hatchback,624,"170,300.00"," 2,100,000.00 ",Yes, 12.33 
ikman.lk,Toyota,Hilux,,2011,Manual,Diesel,Double Cab,2494,"260,000.00"," 13,250,000.00 ",Yes, 50.96 
ikman.lk,Toyota,Land Cruiser Prado,GDJ250,2024,Automatic,Diesel,SUV,2800,0.00," 81,500,000.00 ",No,#DIV/0!
ikman.lk,Nissan ,Qashqai,,2018,Automatic,Petrol,Crossover,1197,"67,000.00"," 14,000,000.00 ",No, 208.96 
ikman.lk,Toyota,Aqua,Eagle Eye,2018,Automatic,Hybrid,Hatchback,1500,"50,000.00"," 11,675,000.00 ",No, 233.50 
ikman.lk,Toyota,Vitz,,2015,Automatic,Petrol,Hatchback,998,"63,000.00"," 7,900,000.00 ",Yes, 125.40 
ikman.lk,Honda ,Civic,Ex Tech Pack,2018,Automatic,Petrol,Saloon,1000,"42,000.00"," 14,400,000.00 ",No, 342.86 
