Brand,Model,Edition,Year of Manufacture,Transmission,Fuel Type,Body Type,Engine Capacity (cc),Mileage (km),Price Rs.,Negotiable
Toyota,Prius,Anniversary Edition,2007,Automatic,Petrol,,"1,497 cc","256,000 km","Rs 6,850,000",Yes
Toyota,Corolla,141,2008,Automatic,Petrol,,"1,600 cc","191,000 km","Rs 6,850,000",Yes
Suzuki,Wagon R FZ,Safety,2018,Automatic,Petrol,Hatchback,650 cc,"70,513 km","Rs 6,850,001",No
Mahindra,KUV 100,,2022,Automatic,Diesel,,"1,198 cc","44,000 km","Rs 6,870,000",No
Daihatsu,Mira,LIMITED,2025,Automatic,Petrol,Hatchback,650 cc,200 km,"Rs 6,875,000",Yes
Daihatsu,Mira,ES L Grade Safety,2025,Automatic,Petrol,Hatchback,650 cc,0 km,"Rs 6,875,000",Yes
Daihatsu,Mira,Push Start G SA3,2023,Automatic,Petrol,Saloon,660 cc,"5,500 km","Rs 6,875,000",No
Suzuki,Wagon R FZ,,2018,Automatic,Hybrid,Hatchback,650 cc,"88,421 km","Rs 6,875,000",No
Toyota,Axio,,2007,Automatic,Petrol,Hatchback,"1,490 cc","184,206 km","Rs 6,875,000",No
Honda,Fit,2014,2014,Automatic,Hybrid,Hatchback,"1,350 cc","79,863 km","Rs 6,880,000",Yes
Daihatsu,Mira,X Limited,2024,Automatic,Petrol,Hatchback,660 cc,0 km,"Rs 6,890,000",Yes
Honda,Fit,GP1 .,2012,Automatic,Hybrid,Hatchback,"1,330 cc","181,300 km","Rs 6,890,000",Yes
Suzuki,Wagon R FZ,Premium,2018,Tiptronic,Hybrid,Hatchback,650 cc,"53,429 km","Rs 6,890,000",No
Suzuki,Wagon R FX,Wagon R FX 2024,2024,Automatic,Petrol,Hatchback,660 cc,"4,000 km","Rs 6,890,000",Yes
Suzuki,Wagon R FZ,Safety,2017,Automatic,Hybrid,Hatchback,650 cc,"113,922 km","Rs 6,890,000",No
Suzuki,Wagon R Stingray,,2017,Automatic,Hybrid,Hatchback,650 cc,"84,303 km","Rs 6,890,000",No
Toyota,Prius,2nd Generation,2011,Automatic,Hybrid,Saloon,"1,500 cc","225,000 km","Rs 6,890,000",No
Toyota,Wigo,,2017,Automatic,Petrol,Hatchback,998 cc,"28,591 km","Rs 6,890,000",No
Daihatsu,Move,Custom GR Sport LED,2018,Automatic,Petrol,Saloon,650 cc,"59,890 km","Rs 6,895,000",Yes
Suzuki,Wagon R FZ,Premium,2018,Automatic,Hybrid,Hatchback,650 cc,"76,208 km","Rs 6,895,000",No
Suzuki,Wagon R FZ,,2018,Automatic,Hybrid,Hatchback,650 cc,"62,499 km","Rs 6,895,000",No
Toyota,Vitz,,2015,Automatic,Petrol,Hatchback,990 cc,"145,500 km","Rs 6,899,997",Yes
Daihatsu,Mira,X Limited,2024,Automatic,Petrol,Hatchback,660 cc,"2,400 km","Rs 6,900,000",Yes
Daihatsu,Boon,,2017,Automatic,Petrol,Hatchback,"1,000 cc","47,400 km","Rs 6,900,000",Yes
Daihatsu,Mira,X SA III Safety,2024,Automatic,Petrol,Hatchback,660 cc,"11,500 km","Rs 6,900,000",Yes
Honda,Fit She's,2013,2013,Automatic,Hybrid,Hatchback,"1,300 cc","85,000 km","Rs 6,900,000",Yes
Honda,Fit,GP1,2013,Automatic,Petrol,Hatchback,"1,330 cc","140,000 km","Rs 6,900,000",Yes
Honda,Fit,GP1,2011,Automatic,Hybrid,,"1,300 cc","174,000 km","Rs 6,900,000",Yes
Mahindra,KUV 100,100,2024,Automatic,Diesel,Saloon,"1,800 cc","48,000 km","Rs 6,900,000",Yes
Nissan,Double cab,D22,2003,Manual,Diesel,SUV / 4x4,"3,200 cc","275,000 km","Rs 6,900,000",No
Nissan,Dayz,(Import),2025,Automatic,Petrol,Hatchback,660 cc,"5,000 km","Rs 6,900,000",No
Suzuki,Wagon R,FZ Safety  MH55S,2018,Automatic,Hybrid,Hatchback,660 cc,"113,000 km","Rs 6,900,000",Yes
Suzuki,Wagon R,FZ Safety  MH55S,2018,Automatic,Hybrid,Hatchback,660 cc,"113,000 km","Rs 6,900,000",Yes
Suzuki,Wagon R,FZ Safety  MH55S,2018,Automatic,Hybrid,Hatchback,660 cc,"113,000 km","Rs 6,900,000",Yes
Suzuki,Wagon R,FZ Safety  MH55S,2018,Automatic,Hybrid,Hatchback,660 cc,"113,000 km","Rs 6,900,000",Yes
Suzuki,Wagon R Stingray,Safety,2018,Automatic,Petrol,MPV,660 cc,"69,000 km","Rs 6,900,000",Yes
Suzuki,Wagon R Stingray,MH55S,2018,Automatic,Petrol,Hatchback,650 cc,"85,000 km","Rs 6,900,000",Yes
Suzuki,Wagon R,FZ Safety  MH55S,2018,Automatic,Hybrid,Hatchback,660 cc,"113,000 km","Rs 6,900,000",Yes
Suzuki,Wagon R Stingray,Safety,2018,Automatic,Petrol,MPV,660 cc,"69,000 km","Rs 6,900,000",Yes
Suzuki,Spacia,,2017,Automatic,Hybrid,Hatchback,660 cc,"83,000 km","Rs 6,900,000",Yes
Suzuki,Wagon R Stingray,2017,2017,Automatic,Petrol,,650 cc,"62,000 km","Rs 6,900,000",No
Suzuki,Wagon R,FZ Safety  MH55S,2018,Automatic,Hybrid,Hatchback,660 cc,"113,000 km","Rs 6,900,000",Yes
Suzuki,Wagon R,FZ Safety  MH55S,2018,Automatic,Hybrid,Hatchback,660 cc,"113,000 km","Rs 6,900,000",Yes
Suzuki,Wagon R,FZ Safety  MH55S,2018,Automatic,Hybrid,Hatchback,660 cc,"113,000 km","Rs 6,900,000",Yes
Suzuki,Alto,Hybrid S Grade,2023,Automatic,Hybrid,Station wagon,660 cc,"8,600 km","Rs 6,900,000",Yes
Suzuki,Spacia,,2017,Automatic,Hybrid,Hatchback,660 cc,"83,000 km","Rs 6,900,000",Yes
Suzuki,Wagon R Stingray,Stingray Full Option,2017,Automatic,Petrol,Hatchback,660 cc,"95,000 km","Rs 6,900,000",Yes
Suzuki,Wagon R Stingray,Stingray Full Option,2017,Automatic,Petrol,Hatchback,660 cc,"95,000 km","Rs 6,900,000",Yes
Suzuki,Spacia,,2016,Automatic,Petrol,,660 cc,"51,180 km","Rs 6,900,000",Yes
Suzuki,Wagon R,FZ Safety  MH55S,2018,Automatic,Hybrid,Hatchback,660 cc,"113,000 km","Rs 6,900,000",Yes
Suzuki,Wagon R Stingray,,2018,Automatic,Petrol,,660 cc,"87,424 km","Rs 6,900,000",No
Toyota,Vitz,,2016,Automatic,Petrol,Hatchback,"1,000 cc","98,642 km","Rs 6,900,000",Yes
Toyota,Corolla,141,2008,Automatic,Petrol,Saloon,"1,600 cc","157,000 km","Rs 6,900,000",Yes
Toyota,Aqua,S,2012,Automatic,Hybrid,Saloon,"1,500 cc","215,000 km","Rs 6,900,000",Yes
Toyota,Aqua,S,2012,Automatic,Hybrid,Saloon,"1,500 cc","215,000 km","Rs 6,900,000",Yes
Toyota,Axio,X Grade,2007,Automatic,Petrol,Saloon,"1,500 cc","132,000 km","Rs 6,900,000",Yes
Daihatsu,Mira,Mira Es X Limited,2025,Automatic,Petrol,Hatchback,650 cc,0 km,"Rs 6,915,000",Yes
Daihatsu,Mira,Mira X Limited,2025,Automatic,Petrol,Hatchback,650 cc,0 km,"Rs 6,925,000",Yes
Mitsubishi,eK Wagon,n grade,2023,Automatic,Petrol,,650 cc,"18,000 km","Rs 6,925,000",No
Mitsubishi,eK Wagon,n grade,2023,Automatic,Petrol,,650 cc,"18,000 km","Rs 6,925,000",No
Mitsubishi,eK Wagon,n grade,2023,Automatic,Petrol,,650 cc,"18,000 km","Rs 6,925,000",No
Mitsubishi,eK Wagon,Mitsubishi ek wagon,2023,Automatic,Petrol,,650 cc,"18,500 km","Rs 6,925,000",No
Daihatsu,Mira,x Limited,2023,Automatic,Petrol,Hatchback,660 cc,"1,166 km","Rs 6,950,000",Yes
Daihatsu,Mira,X SA3,2025,Automatic,Petrol,Hatchback,650 cc,500 km,"Rs 6,950,000",Yes
Daihatsu,Mira,ES L Grade,2025,Automatic,Petrol,Hatchback,660 cc,248 km,"Rs 6,950,000",Yes
Daihatsu,Mira,X limited,2024,Automatic,Petrol,Hatchback,660 cc,"3,500 km","Rs 6,950,000",Yes
Daihatsu,Mira,L,2024,Automatic,Petrol,,660 cc,60 km,"Rs 6,950,000",Yes
Daihatsu,Hijet,Safety Edition,2023,Automatic,Petrol,MPV,660 cc,"11,000 km","Rs 6,950,000",Yes
Daihatsu,Mira,x Limited,2025,Automatic,Petrol,Hatchback,660 cc,"1,418 km","Rs 6,950,000",Yes
Honda,Insight,,2009,Automatic,Hybrid,Hatchback,"1,300 cc","120,000 km","Rs 6,950,000",Yes
Mazda,3,,2012,Automatic,Petrol,Saloon,"1,600 cc","240,200 km","Rs 6,950,000",No
Mitsubishi,eK Wagon,M Grade Red,2024,Automatic,Petrol,Hatchback,650 cc,"12,000 km","Rs 6,950,000",Yes
Nissan,Clipper,,2025,Automatic,Petrol,MPV,660 cc,0 km,"Rs 6,950,000",No
Nissan,Clipper,Nissan,2023,Automatic,Petrol,,650 cc,"14,000 km","Rs 6,950,000",No
Nissan,Dayz,X,2024,Automatic,Petrol,,660 cc,"4,000 km","Rs 6,950,000",No
Nissan,Leaf,G 2023 40 KW,2013,Automatic,Electric,Hatchback,70 cc,"79,000 km","Rs 6,950,000",Yes
Suzuki,Spacia,Custom Z,2017,Automatic,Hybrid,Hatchback,650 cc,"109,000 km","Rs 6,950,000",No
Suzuki,Wagon R Stingray,,2018,Automatic,Petrol,,660 cc,"114,000 km","Rs 6,950,000",No
Suzuki,Wagon R Stingray,,2018,Automatic,Petrol,,660 cc,"114,000 km","Rs 6,950,000",No
Suzuki,Wagon R Stingray,,2018,Automatic,Petrol,,660 cc,"114,000 km","Rs 6,950,000",No
Suzuki,Wagon R Stingray,,2018,Automatic,Petrol,,660 cc,"114,000 km","Rs 6,950,000",No
Suzuki,Alto,X Limited Edition,2023,Automatic,Hybrid,Hatchback,660 cc,"9,900 km","Rs 6,950,000",Yes
Suzuki,Wagon R Stingray,,2018,Automatic,Petrol,,660 cc,"114,000 km","Rs 6,950,000",No
Suzuki,Alto,Alto Hybrid S 2024,2024,Automatic,Petrol,Hatchback,660 cc,"2,000 km","Rs 6,950,000",No
Suzuki,Wagon R Stingray,,2018,Automatic,Petrol,,660 cc,"114,000 km","Rs 6,950,000",No
Suzuki,Spacia,Suzuki Spacia Custom,2016,Automatic,Petrol,Hatchback,660 cc,"115,000 km","Rs 6,950,000",Yes
Suzuki,Spacia,Suzuki Spacia Custom,2016,Automatic,Petrol,Hatchback,660 cc,"115,000 km","Rs 6,950,000",Yes
Suzuki,Wagon R Stingray,,2018,Automatic,Petrol,,660 cc,"114,000 km","Rs 6,950,000",No
Toyota,Vitz,,2015,Automatic,Petrol,,"1,000 cc","104,500 km","Rs 6,950,000",Yes
Toyota,Vitz,2018 CBC,2015,Automatic,Petrol,Hatchback,"1,000 cc","110,000 km","Rs 6,950,000",Yes
Toyota,Corolla,141,2008,Automatic,Petrol,Saloon,"1,500 cc","168,000 km","Rs 6,950,000",Yes
Toyota,Passo,Moda,2017,Automatic,Petrol,Hatchback,"1,000 cc","56,178 km","Rs 6,950,000",Yes
Toyota,Aqua,S grade,2012,Automatic,Hybrid,Hatchback,"1,500 cc","146,000 km","Rs 6,950,000",Yes
Toyota,Vitz,Vitz KPS130,2016,Automatic,Petrol,Hatchback,"1,000 cc","92,000 km","Rs 6,950,000",Yes
Toyota,Corolla,141,2007,Automatic,Petrol,Saloon,"1,600 cc","159,000 km","Rs 6,950,000",Yes
Toyota,Belta,1300CC,2010,Automatic,Petrol,Saloon,"1,300 cc","173,000 km","Rs 6,950,000",Yes
Daihatsu,Mira,X limited,2023,Automatic,Petrol,Hatchback,660 cc,"11,000 km","Rs 6,975,000",Yes
Daihatsu,Mira,SA3 Premium S Grade,2024,Automatic,Petrol,Hatchback,660 cc,"1,000 km","Rs 6,975,000",Yes
Daihatsu,Mira,SA3 Premium S Grade,2024,Automatic,Petrol,Hatchback,660 cc,"1,000 km","Rs 6,975,000",Yes
Daihatsu,Mira,ES X Limited,2025,Automatic,Petrol,Hatchback,650 cc,10 km,"Rs 6,975,000",No
Daihatsu,Mira,ES - X SA3,2024,Automatic,Petrol,Hatchback,660 cc,"3,000 km","Rs 6,975,000",Yes
Daihatsu,Mira,X Limited,2024,Automatic,Petrol,Hatchback,650 cc,"2,800 km","Rs 6,975,000",Yes
Daihatsu,Mira,Mira L Safety,2024,Automatic,Petrol,Hatchback,650 cc,"2,000 km","Rs 6,975,000",No
Honda,Fit,GP1 Nevi,2013,Automatic,Hybrid,Hatchback,"1,300 cc","175,000 km","Rs 6,975,000",Yes
Honda,Fit,GP1 Nevi,2013,Automatic,Hybrid,Hatchback,"1,300 cc","175,000 km","Rs 6,975,000",Yes
Honda,Civic,8th Gen,2007,Automatic,Petrol,Saloon,"1,800 cc","210,000 km","Rs 6,975,000",Yes
Honda,CRZ,Hybrid Sports,2013,Automatic,Hybrid,Coupé/Sports,"1,500 cc","92,000 km","Rs 6,975,000",Yes
Mercedes Benz,S280,,2003,Tiptronic,Petrol,Saloon,"2,950 cc","98,000 km","Rs 6,975,000",No
Micro,Kyron,4WD,2010,Tiptronic,Diesel,Hatchback,"2,700 cc","199,000 km","Rs 6,975,000",Yes
Mitsubishi,eK Wagon,ek wagon,2023,Automatic,Petrol,,650 cc,"4,500 km","Rs 6,975,000",No
Suzuki,Wagon R FZ,Premium,2018,Automatic,Hybrid,Hatchback,650 cc,"70,095 km","Rs 6,975,000",No
Toyota,Vitz,KSP130 Push Start,2016,Automatic,Petrol,Hatchback,"1,000 cc","56,000 km","Rs 6,975,000",Yes
Toyota,Yaris,Dark Gray,2011,Automatic,Petrol,Saloon,"1,300 cc","192,000 km","Rs 6,975,000",Yes
Nissan,Clipper,Nv100 PA Limited,2023,Tiptronic,Petrol,MPV,650 cc,"20,000 km","Rs 6,980,000",Yes
Suzuki,Wagon R,Stingray,2017,Automatic,Hybrid,Hatchback,650 cc,"90,930 km","Rs 6,985,000",Yes
Daihatsu,Mira,G Limited SA3,2024,Automatic,Petrol,Hatchback,660 cc,"18,500 km","Rs 6,990,000",No
Daihatsu,Mira,G Limited SA3,2024,Automatic,Petrol,Hatchback,660 cc,"18,500 km","Rs 6,990,000",No
Daihatsu,Mira,G Limited SA3,2024,Automatic,Petrol,Hatchback,660 cc,"18,500 km","Rs 6,990,000",No
Daihatsu,Mira,X Limited,2024,Automatic,Petrol,Hatchback,650 cc,"2,338 km","Rs 6,990,000",No
Mercedes Benz,C220,,2001,Manual,Diesel,Saloon,"2,148 cc","174,000 km","Rs 6,990,000",Yes
Mitsubishi,eK Wagon,Mitsubishi,2023,Automatic,Petrol,,650 cc,"4,500 km","Rs 6,990,000",No
Mitsubishi,eK Wagon,2023,2023,Automatic,Petrol,Hatchback,650 cc,"4,800 km","Rs 6,990,000",No
Mitsubishi,eK Wagon,2023,2023,Automatic,Petrol,Hatchback,650 cc,"4,800 km","Rs 6,990,000",No
Mitsubishi,eK Wagon,M Grade,2024,Automatic,Petrol,Hatchback,650 cc,"1,400 km","Rs 6,990,000",No
Mitsubishi,eK Wagon,M GRADE,2024,Automatic,Petrol,Hatchback,650 cc,"1,400 km","Rs 6,990,000",No
Suzuki,Wagon R Stingray,,2018,Automatic,Hybrid,Hatchback,650 cc,"85,721 km","Rs 6,990,000",No
Suzuki,Wagon R FZ,Premium,2019,Automatic,Hybrid,Hatchback,650 cc,"89,834 km","Rs 6,990,000",No
Suzuki,Wagon R FZ,Safety,2017,Automatic,Hybrid,Hatchback,650 cc,"86,120 km","Rs 6,990,000",No
Suzuki,Wagon R Stingray,,2018,Automatic,Hybrid,Hatchback,650 cc,"46,930 km","Rs 6,990,001",No
Suzuki,Wagon R Stingray,,2018,Automatic,Hybrid,Hatchback,650 cc,"46,930 km","Rs 6,990,001",No
Suzuki,Wagon R Stingray,,2017,Automatic,Hybrid,Hatchback,650 cc,"95,603 km","Rs 6,995,000",No
Suzuki,Wagon R Stingray,,2018,Automatic,Hybrid,Hatchback,650 cc,"109,363 km","Rs 6,995,000",No
Land Rover,Defender,110 XS Edi – P300,2023,Automatic,Hybrid,SUV / 4x4,"2,000 cc","20,000 km","Rs 60,000,000",No
Mercedes Benz,E350,E350e AMGLine premiu,2024,Automatic,Hybrid,Saloon,"2,000 cc","3,000 km","Rs 60,000,000",No
Mercedes Benz,E200,Premium plus,2024,Automatic,Hybrid,Saloon,"2,000 cc","8,000 km","Rs 60,000,000",No
Mercedes Benz,GLC 300,GLC350e,2024,Tiptronic,Hybrid,SUV / 4x4,"2,000 cc","11,000 km","Rs 60,000,000",No
Toyota,Crown,Sport Z,2025,Automatic,Hybrid,SUV / 4x4,"2,500 cc",0 km,"Rs 60,000,000",Yes
Toyota,Crown,Sport Z,2025,Automatic,Hybrid,SUV / 4x4,"2,500 cc",0 km,"Rs 60,000,000",Yes
Toyota,Land Cruiser Sahara,Toyota,2015,Automatic,Diesel,SUV / 4x4,"4,500 cc","950,000 km","Rs 60,000,000",Yes
Toyota,Land Cruiser Prado,LC250,2025,Automatic,Petrol,SUV / 4x4,"2,700 cc",0 km,"Rs 60,000,000",Yes
Toyota,Land Cruiser Prado,,2024,Automatic,Petrol,SUV / 4x4,"2,700 cc",370 km,"Rs 60,000,000",Yes
Toyota,Land Cruiser Prado,TRJ250,2025,Automatic,Petrol,SUV / 4x4,"2,700 cc","4,100 km","Rs 60,000,000",Yes
Toyota,Land Cruiser Prado,250 VX,2025,Automatic,Petrol,SUV / 4x4,"2,700 cc",0 km,"Rs 60,000,000",No
Toyota,Land Cruiser Sahara,,2013,Tiptronic,Diesel,SUV / 4x4,"4,200 cc","59,000 km","Rs 60,000,000",Yes
Toyota,Vellfire,Executive Lounge,2025,Automatic,Hybrid,MPV,"2,500 cc",0 km,"Rs 60,000,000",No
Toyota,Land Cruiser Prado,250 FIRST EDITION,2024,Tiptronic,Petrol,SUV / 4x4,"2,700 cc","5,000 km","Rs 60,500,000",No
Toyota,Land Cruiser Prado,LC250,2025,Automatic,Petrol,SUV / 4x4,"2,700 cc",0 km,"Rs 60,800,000",Yes
Toyota,Land Cruiser Prado,250 1st Edition,2024,Automatic,Petrol,SUV / 4x4,"2,700 cc",67 km,"Rs 61,000,000",Yes
Toyota,Land Cruiser Prado,TRJ250 VX,2025,Automatic,Petrol,SUV / 4x4,"2,700 cc",20 km,"Rs 61,000,000",Yes
Toyota,Land Cruiser Prado,TRJ250 VX,2025,Automatic,Petrol,SUV / 4x4,"2,700 cc",0 km,"Rs 61,000,000",Yes
Toyota,Land Cruiser Prado,250 VX,2025,Automatic,Petrol,SUV / 4x4,"2,700 cc",200 km,"Rs 61,000,000",Yes
Toyota,Land Cruiser Prado,LC250 VX Brand New,2025,Automatic,Petrol,SUV / 4x4,"2,700 cc",0 km,"Rs 61,000,000",Yes
Toyota,Land Cruiser Prado,250,2024,Tiptronic,Petrol,SUV / 4x4,"2,700 cc","1,700 km","Rs 61,200,000",Yes
Toyota,Land Cruiser Prado,TRJ 250 First EDN,2024,Automatic,Petrol,SUV / 4x4,"2,700 cc",500 km,"Rs 61,450,000",Yes
Land Rover,Discovery Sport,Dynamic HSEP300ePHEV,2025,Automatic,Hybrid,SUV / 4x4,"1,500 cc",0 km,"Rs 61,500,000",Yes
Toyota,Land Cruiser Prado,Highest Spec,2017,Automatic,Diesel,SUV / 4x4,"2,800 cc","29,000 km","Rs 61,500,000",Yes
Toyota,Land Cruiser Prado,Highest Spec,2017,Automatic,Diesel,SUV / 4x4,"2,800 cc","29,000 km","Rs 61,500,000",Yes
Toyota,Land Cruiser Prado,250 1st Edition,2024,Automatic,Petrol,Hatchback,"2,700 cc","10,387 km","Rs 61,800,000",No
Toyota,Vellfire,Z Premium Package,2024,Automatic,Hybrid,Station wagon,"2,500 cc",0 km,"Rs 61,850,000",Yes
Toyota,Vellfire,Z Premium Package,2024,Automatic,Hybrid,Station wagon,"2,500 cc",0 km,"Rs 61,850,000",Yes
Toyota,Alphard,Executive Lounge,2024,Automatic,Hybrid,MPV,"2,500 cc","4,300 km","Rs 61,900,000",Yes
Toyota,Vellfire,Vellfire Executive,2025,Automatic,Hybrid,MPV,"2,500 cc",37 km,"Rs 61,970,000",No
BMW,520i,MHT M Sport Pro,2025,Automatic,Hybrid,Saloon,"2,000 cc",0 km,"Rs 62,000,000",No
BMW,530e,M Sport Brand New,2025,Tiptronic,Hybrid,Saloon,"2,000 cc",10 km,"Rs 62,000,000",Yes
Land Rover,Range Rover,,2019,Tiptronic,Petrol,SUV / 4x4,"2,000 cc","63,000 km","Rs 62,000,000",Yes
Toyota,Land Cruiser Prado,LC250 VX 1ST Edition,2024,Automatic,Petrol,SUV / 4x4,"2,700 cc","1,479 km","Rs 62,000,000",Yes
Toyota,Land Cruiser Prado,250 VX 1st Edition,2024,Automatic,Petrol,SUV / 4x4,"2,700 cc","3,000 km","Rs 62,000,000",Yes
Toyota,Land Cruiser Prado,250 First Modellista,2024,Automatic,Petrol,SUV / 4x4,"2,700 cc",0 km,"Rs 62,200,000",Yes
Toyota,Land Cruiser Prado,250 First Modellista,2024,Automatic,Petrol,SUV / 4x4,"2,700 cc",0 km,"Rs 62,200,000",Yes
Toyota,Alphard,Alphard Executive,2025,Automatic,Hybrid,MPV,"2,500 cc",100 km,"Rs 62,400,000",No
Toyota,Land Cruiser Prado,TRJ 250,2024,Automatic,Petrol,SUV / 4x4,"2,700 cc",0 km,"Rs 62,400,000",No
Land Rover,Range Rover,Vogue P400e,2018,Automatic,Petrol,SUV / 4x4,"2,000 cc","44,000 km","Rs 62,500,000",Yes
Toyota,Land Cruiser Prado,250 1st edition,2024,Automatic,Petrol,SUV / 4x4,"2,400 cc",0 km,"Rs 62,500,000",Yes
Toyota,Land Cruiser Prado,LC 250 First Edition,2024,Automatic,Petrol,SUV / 4x4,"2,000 cc","1,000 km","Rs 62,500,000",Yes
Toyota,Land Cruiser Prado,VX,2024,Automatic,Petrol,SUV / 4x4,"2,690 cc","1,500 km","Rs 62,700,000",No
Toyota,Alphard,Executive Lounge,2025,Automatic,Hybrid,MPV,"2,500 cc",0 km,"Rs 62,900,000",Yes
Nissan,Sunny,Nissan,1976,Manual,Petrol,Saloon,"1,200 cc","162,883 km","Rs 625,000",Yes
Hyundai,Palisade,Calligraphy,2025,Automatic,Hybrid,SUV / 4x4,"2,500 cc",0 km,"Rs 63,000,000",No
Hyundai,Other Model,Palisade 2025,2025,Tiptronic,Hybrid,SUV / 4x4,"2,500 cc",0 km,"Rs 63,000,000",No
Hyundai,Other Model,Palisade Calligraphy,2026,Tiptronic,Petrol,SUV / 4x4,"2,500 cc",0 km,"Rs 63,000,000",No
Mercedes Benz,E200,amg prem plus,2025,Tiptronic,Petrol,Saloon,"2,000 cc",0 km,"Rs 63,000,000",No
Mercedes Benz,E200,AMG Premium Plus,2025,Automatic,Petrol,Saloon,"2,000 cc",0 km,"Rs 63,000,000",Yes
Mercedes Benz,E300,E300e,2025,Tiptronic,Hybrid,Saloon,"2,000 cc",0 km,"Rs 63,000,000",Yes
Toyota,Vellfire,Executive Lounge,2024,Automatic,Hybrid,MPV,"2,480 cc","19,783 km","Rs 63,000,000",Yes
Toyota,Vellfire,Executive Lounge,2024,Automatic,Hybrid,MPV,"2,480 cc","19,783 km","Rs 63,000,000",Yes
Toyota,Land Cruiser Prado,LC250 VX FL BrandNew,2025,Automatic,Petrol,SUV / 4x4,"2,700 cc",0 km,"Rs 63,000,000",Yes
Toyota,Land Cruiser Prado,LC250 VX 2.7L B/New,2025,Automatic,Petrol,SUV / 4x4,"2,700 cc",0 km,"Rs 63,000,000",Yes
Toyota,Land Cruiser Prado,LC250 VX highest spc,2025,Automatic,Petrol,SUV / 4x4,"2,700 cc",0 km,"Rs 63,000,000",Yes
Toyota,Vellfire,Executive Lounge,2024,Automatic,Hybrid,MPV,"2,500 cc",0 km,"Rs 63,500,000",Yes
Toyota,Land Cruiser Prado,Trj250 First Edition,2024,Automatic,Petrol,SUV / 4x4,"2,700 cc","3,000 km","Rs 63,500,000",Yes
Toyota,Land Cruiser Prado,250,2024,Automatic,Petrol,SUV / 4x4,"2,755 cc","1,000 km","Rs 63,500,000",Yes
Toyota,Alphard,EXECUTIVE LOUNGE,2024,Automatic,Hybrid,MPV,"2,500 cc","2,500 km","Rs 63,590,000",No
Fiat,Uno,1985,1985,Manual,Petrol,,"1,100 cc","251,368 km","Rs 630,000",Yes
Toyota,Corolla,Ke 20,1974,Manual,Petrol,Saloon,"1,200 cc","100,000 km","Rs 630,000",Yes
BMW,525i,525Li M Sport B/New,2024,Automatic,Petrol,Saloon,"2,000 cc",0 km,"Rs 64,000,000",Yes
Land Rover,Range Rover,P400 SWB ComfortPlus,2019,Automatic,Petrol,SUV / 4x4,"2,000 cc","34,000 km","Rs 64,500,000",Yes
Toyota,Alphard,Executive Lounge,2025,Automatic,Hybrid,MPV,"2,500 cc",0 km,"Rs 64,500,000",Yes
Toyota,Land Cruiser Prado,250 FIRST EDITION,2024,Automatic,Petrol,SUV / 4x4,"2,000 cc","5,000 km","Rs 64,500,000",No
Land Rover,Defender,SE 110,2024,Automatic,Petrol,SUV / 4x4,"2,000 cc","5,300 km","Rs 64,900,000",Yes
Toyota,Land Cruiser Sahara,Highest spec,2016,Tiptronic,Petrol,MPV,"4,600 cc","170,000 km","Rs 64,999,999",Yes
Toyota,Land Cruiser Sahara,Highest spec,2016,Tiptronic,Petrol,MPV,"4,600 cc","170,000 km","Rs 64,999,999",Yes
BMW,525i,LWS M Sport Plus,2025,Automatic,Petrol,Saloon,"2,000 cc",0 km,"Rs 65,000,000",Yes
BMW,525i,Li M Sport Brand New,2025,Automatic,Petrol,Saloon,"2,000 cc",0 km,"Rs 65,000,000",Yes
BMW,520i,M sport steptronic,2025,Automatic,Petrol,SUV / 4x4,"2,000 cc",0 km,"Rs 65,000,000",No
Land Rover,Defender,110,2023,Automatic,Petrol,SUV / 4x4,"2,000 cc","17,000 km","Rs 65,000,000",No
Land Rover,Defender,Dynamic SE 2.0 Unreg,2024,Automatic,Petrol,SUV / 4x4,"2,000 cc","4,000 km","Rs 65,000,000",Yes
Mercedes Benz,E350,AMG Pre plus,2026,Tiptronic,Petrol,Saloon,"2,000 cc",0 km,"Rs 65,000,000",Yes
Toyota,Alphard,Executive Lounge,2025,Automatic,Hybrid,MPV,"2,500 cc",0 km,"Rs 65,000,000",No
Toyota,Vellfire,Executive Lounge,2024,Automatic,Petrol,SUV / 4x4,"2,500 cc",0 km,"Rs 65,000,000",Yes
Land Rover,Range Rover,AUTOBIOGRAPHY,2019,Tiptronic,Petrol,SUV / 4x4,"2,000 cc","15,000 km","Rs 65,500,000",No
Toyota,Land Cruiser Sahara,V8,2016,Automatic,Diesel,SUV / 4x4,"4,500 cc","135,000 km","Rs 65,500,000",Yes
Toyota,Alphard,PREMIUM EXECUTIVE,2024,Automatic,Petrol,MPV,"2,500 cc","5,000 km","Rs 65,500,000",Yes
Toyota,Alphard,Executive Lounge,2025,Automatic,Hybrid,MPV,"2,500 cc",60 km,"Rs 65,500,000",No
Toyota,Alphard,Premium Exicutive L,2025,Automatic,Hybrid,MPV,"2,500 cc",100 km,"Rs 65,950,000",Yes
Toyota,Alphard,Premium Exicutive L,2025,Automatic,Hybrid,MPV,"2,500 cc",100 km,"Rs 65,950,000",Yes
Toyota,Alphard,Premium Exicutive L,2025,Automatic,Hybrid,MPV,"2,500 cc",100 km,"Rs 65,950,000",Yes
Ford,Laser,,1984,Manual,Petrol,Saloon,"1,500 cc","65,210 km","Rs 650,000",Yes
